rank,title,slug,subscribers,url,category,rpm,score
738,"Пруды и водоёмы",prudy-i-vodoemy,5926,https://dzen.ru/topic/prudy-i-vodoemy,Другое,2,74
739,"Блюда из молочных продуктов",blyuda-iz-molochnykh-produktov,5926,https://dzen.ru/topic/blyuda-iz-molochnykh-produktov,Другое,2,74
740,"Участок для дома",uchastok-dlya-doma,5926,https://dzen.ru/topic/uchastok-dlya-doma,Другое,2,74
741,"Монтаж канализация",montazh-kanalizaciya,5919,https://dzen.ru/topic/montazh-kanalizaciya,Другое,2,74
742,"Установка деревянных дверей",ustanovka-derevyannykh-dverej,5902,https://dzen.ru/topic/ustanovka-derevyannykh-dverej,Другое,2,74
743,"Кулинарные события",kulinarnye-sobytiya,5901,https://dzen.ru/topic/kulinarnye-sobytiya,Еда,2,74
744,"Установка дверей из шпона",ustanovka-dverej-iz-shpona,5900,https://dzen.ru/topic/ustanovka-dverej-iz-shpona,Другое,2,74
745,"Монтаж стропильной системы",montazh-stropilnoj-sistemy,5881,https://dzen.ru/topic/montazh-stropilnoj-sistemy,Другое,2,74
746,"Дома в стиле хайтек",doma-v-stile-khajtek,5853,https://dzen.ru/topic/doma-v-stile-khajtek,Другое,2,74
747,"Компания Promobot",promobot,5844,https://dzen.ru/topic/promobot,Другое,2,74
748,"Двухэтажные дома",dvukhehtazhnye-doma,5840,https://dzen.ru/topic/dvukhehtazhnye-doma,Другое,2,74
749,"Рис с чечевицей",ris-s-chechevicej,5839,https://dzen.ru/topic/ris-s-chechevicej,Другое,2,74
750,"Илья Ильич Мечников",ilya-mechnikov,5839,https://dzen.ru/topic/ilya-mechnikov,Другое,2,74
751,"Стручковая фасоль с чесноком",struchkovaya-fasol-s-chesnokom,5839,https://dzen.ru/topic/struchkovaya-fasol-s-chesnokom,Другое,2,74
752,"Карп с овощами",karp-s-ovoshchami,5839,https://dzen.ru/topic/karp-s-ovoshchami,Другое,2,74
753,"Одноэтажные дома",odnoehtazhnye-doma,5839,https://dzen.ru/topic/odnoehtazhnye-doma,Другое,2,74
754,"Ноутбуки Microsoft",noutbuki-microsoft,5835,https://dzen.ru/topic/noutbuki-microsoft,Другое,2,74
755,"История скульптуры",istoriya-skulptury,5835,https://dzen.ru/topic/istoriya-skulptury,История,2,74
756,"Насекомые",nasekomye,5833,https://dzen.ru/topic/nasekomye,Другое,2,74
757,"История Индии",istoriya-indii,5833,https://dzen.ru/topic/istoriya-indii,История,2,74
758,"Патриарх Кирилл",patriarh-kirill,5824,https://dzen.ru/topic/patriarh-kirill,Другое,2,74
759,"Кирилл Дмитриев",kirill-dmitriev,5781,https://dzen.ru/topic/kirill-dmitriev,Другое,2,74
760,"Уоррен Баффетт",uorren-baffett,5652,https://dzen.ru/topic/uorren-baffett,Другое,2,74
761,"Волшебный фонарь",volshebniy-fonar,5652,https://dzen.ru/topic/volshebniy-fonar,Другое,2,74
762,"Накопительные счета",nakopitelnye-scheta,5623,https://dzen.ru/topic/nakopitelnye-scheta,Другое,2,74
763,"Электрогриль",ehlektrogril,5623,https://dzen.ru/topic/ehlektrogril,Другое,2,74
764,"Садовая тележка",sadovaya-telezhka,5623,https://dzen.ru/topic/sadovaya-telezhka,Дача,2,74
765,"Андрей Губин",andrej-gubin,5586,https://dzen.ru/topic/andrej-gubin,Другое,2,74
766,"Меган Фокс",megan-foks,5572,https://dzen.ru/topic/megan-foks,Другое,2,74
767,"Бихевиоризм",bikheviorizm,5449,https://dzen.ru/topic/bikheviorizm,Другое,2,74
768,"Газонокосилка",gazonokosilka,5449,https://dzen.ru/topic/gazonokosilka,Другое,2,74
769,"Андрей Рэмович Белоусов",andrej-belousov,5418,https://dzen.ru/topic/andrej-belousov,Другое,2,74
770,"Овощи в сметане",ovoshchi-v-smetane,5342,https://dzen.ru/topic/ovoshchi-v-smetane,Другое,2,74
771,"Овощи вареные",ovoshchi-varenye,5342,https://dzen.ru/topic/ovoshchi-varenye,Другое,2,74
772,"Пюре из брокколи",pyure-iz-brokkoli,5342,https://dzen.ru/topic/pyure-iz-brokkoli,Другое,2,74
773,"Настасья Самбурская",nastasya-samburskaya,5243,https://dzen.ru/topic/nastasya-samburskaya,Другое,2,74
774,"Оперные певцы и певицы",opernye-pevcy-i-pevicy,5219,https://dzen.ru/topic/opernye-pevcy-i-pevicy,Другое,2,74
775,"Велоспорт",velosport,5180,https://dzen.ru/topic/velosport,Спорт,2,74
776,"История Буддизма",istoriya-buddizma,5120,https://dzen.ru/topic/istoriya-buddizma,История,2,74
777,"Роман Абрамович",roman-abramovich,5091,https://dzen.ru/topic/roman-abramovich,Другое,2,74
778,"World of Tanks",world-of-tanks,5040,https://dzen.ru/topic/world-of-tanks,Другое,2,74
779,"Греческий салат с сыром",grecheskij-salat-s-syrom,5021,https://dzen.ru/topic/grecheskij-salat-s-syrom,Другое,2,74
780,"Триатлон",triatlon,4984,https://dzen.ru/topic/triatlon,Другое,2,74
781,"Оценка рисков",ocenka-riskov,4952,https://dzen.ru/topic/ocenka-riskov,Другое,2,74
782,"Системы капельного полива",sistemy-kapelnogo-poliva,4952,https://dzen.ru/topic/sistemy-kapelnogo-poliva,Другое,2,74
783,"Космонавты и астронавты",kosmonavty-i-astronavty,4950,https://dzen.ru/topic/kosmonavty-i-astronavty,Другое,2,74
784,"Стелла Маккартни",stella-makkartni,4950,https://dzen.ru/topic/stella-makkartni,Другое,2,74
785,"Ноутбуки Apple",noutbuki-apple,4950,https://dzen.ru/topic/noutbuki-apple,Другое,2,74
786,"Каркасные дома",karkasnye-doma,4837,https://dzen.ru/topic/karkasnye-doma,Другое,2,74
787,"Фахверк",fakhverk,4837,https://dzen.ru/topic/fakhverk,Другое,2,74
788,"Блюда из кисломолочных продуктов",blyuda-iz-kislomolochnykh-produktov,4787,https://dzen.ru/topic/blyuda-iz-kislomolochnykh-produktov,Другое,2,74
789,"Выращивание лекарственных трав",vyrashchivanie-lekarstvennykh-trav,4787,https://dzen.ru/topic/vyrashchivanie-lekarstvennykh-trav,Другое,2,74
790,"Американские актеры",amerikanskie-aktery,4787,https://dzen.ru/topic/amerikanskie-aktery,Другое,2,74
791,"Ноутбуки Samsung",noutbuki-samsung,4787,https://dzen.ru/topic/noutbuki-samsung,Другое,2,74
792,"Ярославская область",yaroslavskaya_oblast,4739,https://dzen.ru/topic/yaroslavskaya_oblast,Другое,2,74
793,"История архитектуры",istoriya-arhitektury,4739,https://dzen.ru/topic/istoriya-arhitektury,История,2,74
794,"Стив Уиткофф",stiv-uitkoff,4712,https://dzen.ru/topic/stiv-uitkoff,Другое,2,74
795,"Уход за комбинированной кожей",ukhod-za-kombinirovannoj-kozhej,4712,https://dzen.ru/topic/ukhod-za-kombinirovannoj-kozhej,Другое,2,74
796,"Сорняки",sornyaki,4712,https://dzen.ru/topic/sornyaki,Другое,2,74
797,"Grand Theft Auto",grand-theft-auto-1998,4711,https://dzen.ru/topic/grand-theft-auto-1998,Другое,2,74
798,"Цветущие кустарники",cvetushchie-kustarniki,4690,https://dzen.ru/topic/cvetushchie-kustarniki,Другое,2,74
799,"Карл Роджерс",karl-rodzhers,4690,https://dzen.ru/topic/karl-rodzhers,Другое,2,74
800,"Строительство бассейна",stroitelstvo-bassejna,4690,https://dzen.ru/topic/stroitelstvo-bassejna,Другое,2,74
801,"Православное паломничество",pravoslavnoe-palomnichestvo,4690,https://dzen.ru/topic/pravoslavnoe-palomnichestvo,Другое,2,74
802,"Безглютеновые рецепты",bezglyutenovye-recepty,4665,https://dzen.ru/topic/bezglyutenovye-recepty,Еда,2,74
803,"Грэпплинг",grehppling,4665,https://dzen.ru/topic/grehppling,Другое,2,74
804,"Дмитрий Нагиев",dmitrij-nagiev,4620,https://dzen.ru/topic/dmitrij-nagiev,Другое,2,74
805,"Николас Кейдж",nikolas-kejdzh,4578,https://dzen.ru/topic/nikolas-kejdzh,Другое,2,74
806,"Танзания",tanzaniya,4564,https://dzen.ru/topic/tanzaniya,Другое,2,74
807,"Арнольд Шварценеггер",arnold-shvarcenegger,4445,https://dzen.ru/topic/arnold-shvarcenegger,Другое,2,74
808,"Муслим Магомаев",muslim-magomaev,4361,https://dzen.ru/topic/muslim-magomaev,Другое,2,74
809,"Уральская кухня",uralskaya-kukhnya,4360,https://dzen.ru/topic/uralskaya-kukhnya,Другое,2,74
810,"Седан",sedan,4360,https://dzen.ru/topic/sedan,Еда,2,74
811,"Яхты",yakhty,4360,https://dzen.ru/topic/yakhty,Другое,2,74
812,"Бокс",boks,4360,https://dzen.ru/topic/boks,Другое,2,74
813,"Весеннее настроение",vesennee-nastroenie,4289,https://dzen.ru/topic/vesennee-nastroenie,Другое,2,74
814,"Бьюти-тренды 2025",beauty-trendy,4256,https://dzen.ru/topic/beauty-trendy,Другое,2,74
815,"Цветы",cvety,4187,https://dzen.ru/topic/cvety,Другое,2,74
816,"Елена Васильевна Малышева",elena-malysheva,4151,https://dzen.ru/topic/elena-malysheva,Другое,2,74
817,"Каньоны",kanony,4125,https://dzen.ru/topic/kanony,Другое,2,74
818,"Рождение ребенка",rozhdenie-rebenka,4125,https://dzen.ru/topic/rozhdenie-rebenka,Другое,2,74
819,"Планирование беременности",planirovanie-beremennosti,4057,https://dzen.ru/topic/planirovanie-beremennosti,Другое,2,74
820,"Стилисты",stilisty,4057,https://dzen.ru/topic/stilisty,Другое,2,74
821,"История Португалии",istoriya-portugalii,4057,https://dzen.ru/topic/istoriya-portugalii,История,2,74
822,"Пляжный волейбол",plyazhnyj-volejbol,4053,https://dzen.ru/topic/plyazhnyj-volejbol,Другое,2,74
823,"Выращивание декоративных кустарников",vyrashchivanie-dekorativnykh-kustarnikov,4036,https://dzen.ru/topic/vyrashchivanie-dekorativnykh-kustarnikov,Другое,2,74
824,"История иудаизма",istoriya-iudaizma,4036,https://dzen.ru/topic/istoriya-iudaizma,История,2,74
825,"Тракторы",traktory,3958,https://dzen.ru/topic/traktory,Другое,2,74
826,"Величайшие ученые-медики",velichajshie-uchenye-mediki,3929,https://dzen.ru/topic/velichajshie-uchenye-mediki,Другое,2,74
827,"Юкио Мисима",yukio-misima,3910,https://dzen.ru/topic/yukio-misima,Другое,2,74
828,"История Норвегии",istoriya-norvegii,3910,https://dzen.ru/topic/istoriya-norvegii,История,2,74
829,"Игорь Викторович Краснов",igor-krasnov,3805,https://dzen.ru/topic/igor-krasnov,Другое,2,74
830,"Операционная система macOS",operacionnaya-sistema-macos,3805,https://dzen.ru/topic/operacionnaya-sistema-macos,Другое,2,74
831,"Васильев день",vasilev-den-14-yanvarya,3746,https://dzen.ru/topic/vasilev-den-14-yanvarya,Другое,2,74
832,"Водное поло",vodnoe-polo,3702,https://dzen.ru/topic/vodnoe-polo,Другое,2,74
833,"Роторная косилка",rotornaya-kosilka,3595,https://dzen.ru/topic/rotornaya-kosilka,Другое,2,74
834,"Enlisted",enlisted,3507,https://dzen.ru/topic/enlisted,Другое,2,74
835,"Юлия Меньшова",yuliya-menshova,3444,https://dzen.ru/topic/yuliya-menshova,Другое,2,74
836,"Кризис семи лет",krizis-semi-let,3435,https://dzen.ru/topic/krizis-semi-let,Другое,2,74
837,"Мотоблок",motoblok,3415,https://dzen.ru/topic/motoblok,Другое,2,74
838,"Системная семейная терапия",sistemnaya-semejnaya-terapiya,3415,https://dzen.ru/topic/sistemnaya-semejnaya-terapiya,Другое,2,74
839,"Хорхе Луис Борхес",khorkhe-luis-borkhes,3391,https://dzen.ru/topic/khorkhe-luis-borkhes,Другое,2,74
840,"Чемпионаты и соревнования по конному спорту",chempionaty-i-sorevnovaniya-po-konnomu-sportu,3391,https://dzen.ru/topic/chempionaty-i-sorevnovaniya-po-konnomu-sportu,Спорт,2,74
841,"Пацанки",pacanki,3248,https://dzen.ru/topic/pacanki,Другое,2,74
842,"Дефляция",deflyaciya,3237,https://dzen.ru/topic/deflyaciya,Другое,2,74
843,"Рыбные места",rybnye-mesta,3237,https://dzen.ru/topic/rybnye-mesta,Другое,2,74
844,"Екатерина Сергеевна Андреева",ekaterina-andreeva,3234,https://dzen.ru/topic/ekaterina-andreeva,Другое,2,74
845,"Бадминтон",badminton,3206,https://dzen.ru/topic/badminton,Другое,2,74
846,"Владимир Маяковский",vladimir-mayakovskij,3136,https://dzen.ru/topic/vladimir-mayakovskij,Другое,2,74
847,"Гипноз",gipnoz,3133,https://dzen.ru/topic/gipnoz,Другое,2,74
848,"Песчаная буря",peschanaya-burya,3133,https://dzen.ru/topic/peschanaya-burya,Другое,2,74
849,"Валентин Юдашкин",valentin-yudashkin,3133,https://dzen.ru/topic/valentin-yudashkin,Другое,2,74
850,"Редкие и исчезающие виды",redkie-i-ischezayushchie-vidy,3133,https://dzen.ru/topic/redkie-i-ischezayushchie-vidy,Другое,2,74
851,"Социальные сети и мессенджеры",socialnye-seti-i-messengery,3094,https://dzen.ru/topic/socialnye-seti-i-messengery,Другое,2,74
852,"История Древнего мира",istoriya-drevnego-mira,3073,https://dzen.ru/topic/istoriya-drevnego-mira,История,2,74
853,"Рэй Далио",rehj-dalio,3041,https://dzen.ru/topic/rehj-dalio,Другое,2,74
854,"Велокросс",velokross,3041,https://dzen.ru/topic/velokross,Другое,2,74
855,"Проливы и заливы",prolivy-i-zalivy,3041,https://dzen.ru/topic/prolivy-i-zalivy,Другое,2,74
856,"Конный спорт",konnyj-sport,3038,https://dzen.ru/topic/konnyj-sport,Спорт,2,74
857,"ERP-системы (Система планирование ресурсов предприятия)",erp-sistemy,2975,https://dzen.ru/topic/erp-sistemy,Другое,2,74
858,"Профессии и специальности",professii-i-specialnosti,2975,https://dzen.ru/topic/professii-i-specialnosti,Другое,2,74
859,"Red Dead Redemption: Game of the Year Edition",red-dead-redemption-game-of-the-year-edition,2975,https://dzen.ru/topic/red-dead-redemption-game-of-the-year-edition,Другое,2,74
860,"Джим Керри",dzhim-kerri,2961,https://dzen.ru/topic/dzhim-kerri,Другое,2,74
861,"Выбор имени ребенку",vybor-imeni-rebenku,2959,https://dzen.ru/topic/vybor-imeni-rebenku,Другое,2,74
862,"СОБЕЗ",sobez,2959,https://dzen.ru/topic/sobez,Другое,2,74
863,"Зарубежные вузы",zarubezhnye-vuzy,2735,https://dzen.ru/topic/zarubezhnye-vuzy,Другое,2,74
864,"Пылесос для сада",pylesos-dlya-sada,2647,https://dzen.ru/topic/pylesos-dlya-sada,Дача,2,74
